title,authors,abstract,pdf_url,published,arxiv_id,Title,Model,Rating,Reasoning,image,image_description
StyEmp: Stylizing Empathetic Response Generation via Multi-Grained Prefix Encoder and Personality Reinforcement,"['Yahui Fu', 'Chenhui Chu', 'Tatsuya Kawahara']","Recent approaches for empathetic response generation mainly focus on
emotional resonance and user understanding, without considering the system's
personality. Consistent personality is evident in real human expression and is
important for creating trustworthy systems. To address this problem, we propose
StyEmp, which aims to stylize the empathetic response generation with a
consistent personality. Specifically, it incorporates a multi-grained prefix
mechanism designed to capture the intricate relationship between a system's
personality and its empathetic expressions. Furthermore, we introduce a
personality reinforcement module that leverages contrastive learning to
calibrate the generation model, ensuring that responses are both empathetic and
reflective of a distinct personality. Automatic and human evaluations on the
EMPATHETICDIALOGUES benchmark show that StyEmp outperforms competitive
baselines in terms of both empathy and personality expressions.",http://arxiv.org/pdf/2408.02271v1,2024-08-05,2408.02271v1,StyEmp: Stylizing Empathetic Response Generation via Multi-Grained Prefix Encoder and Personality Reinforcement,gpt-4,highly relevant,"The paper introduces a novel method that utilises prefix prompting techniques to stylise responses with a system's consistent personality, and is therefore related to the topic of prompt engineering.",<PIL.PngImagePlugin.PngImageFile image mode=RGB size=2198x916 at 0x7DD724471420>,
Can Reinforcement Learning Unlock the Hidden Dangers in Aligned Large Language Models?,"['Mohammad Bahrami Karkevandi', 'Nishant Vishwamitra', 'Peyman Najafirad']","Large Language Models (LLMs) have demonstrated impressive capabilities in
natural language tasks, but their safety and morality remain contentious due to
their training on internet text corpora. To address these concerns, alignment
techniques have been developed to improve the public usability and safety of
LLMs. Yet, the potential for generating harmful content through these models
seems to persist. This paper explores the concept of jailbreaking
LLMs-reversing their alignment through adversarial triggers. Previous methods,
such as soft embedding prompts, manually crafted prompts, and gradient-based
automatic prompts, have had limited success on black-box models due to their
requirements for model access and for producing a low variety of manually
crafted prompts, making them susceptible to being blocked. This paper
introduces a novel approach using reinforcement learning to optimize
adversarial triggers, requiring only inference API access to the target model
and a small surrogate model. Our method, which leverages a BERTScore-based
reward function, enhances the transferability and effectiveness of adversarial
triggers on new black-box models. We demonstrate that this approach improves
the performance of adversarial triggers on a previously untested language
model.",http://arxiv.org/pdf/2408.02651v1,2024-08-05,2408.02651v1,Can Reinforcement Learning Unlock the Hidden Dangers in Aligned Large Language Models?,gpt-4,somewhat relevant,"The paper discusses methods of prompt generation such as soft embedding prompts, manually crafted prompts, and gradient-based automatic prompts for language models, making it relevant to the topic of prompt engineering.",,
SEAS: Self-Evolving Adversarial Safety Optimization for Large Language Models,"['Muxi Diao', 'Rumei Li', 'Shiyang Liu', 'Guogang Liao', 'Jingang Wang', 'Xunliang Cai', 'Weiran Xu']","As large language models (LLMs) continue to advance in capability and
influence, ensuring their security and preventing harmful outputs has become
crucial. A promising approach to address these concerns involves training
models to automatically generate adversarial prompts for red teaming. However,
the evolving subtlety of vulnerabilities in LLMs challenges the effectiveness
of current adversarial methods, which struggle to specifically target and
explore the weaknesses of these models. To tackle these challenges, we
introduce the $\mathbf{S}\text{elf-}\mathbf{E}\text{volving
}\mathbf{A}\text{dversarial }\mathbf{S}\text{afety }\mathbf{(SEAS)}$
optimization framework, which enhances security by leveraging data generated by
the model itself. SEAS operates through three iterative stages: Initialization,
Attack, and Adversarial Optimization, refining both the Red Team and Target
models to improve robustness and safety. This framework reduces reliance on
manual testing and significantly enhances the security capabilities of LLMs.
Our contributions include a novel adversarial framework, a comprehensive safety
dataset, and after three iterations, the Target model achieves a security level
comparable to GPT-4, while the Red Team model shows a marked increase in attack
success rate (ASR) against advanced models.",http://arxiv.org/pdf/2408.02632v1,2024-08-05,2408.02632v1,SEAS: Self-Evolving Adversarial Safety Optimization for Large Language Models,gpt-4,somewhat relevant,"This paper mainly focuses on the security and safety of large language models, working on an adversarial framework and optimization for these models. It discusses generating adversarial prompts, but does not indicate these are hard prefix prompts or that there's a focus on prompt engineering.",,
Why Are My Prompts Leaked? Unraveling Prompt Extraction Threats in Customized Large Language Models,"['Zi Liang', 'Haibo Hu', 'Qingqing Ye', 'Yaxin Xiao', 'Haoyang Li']","The drastic increase of large language models' (LLMs) parameters has led to a
new research direction of fine-tuning-free downstream customization by prompts,
i.e., task descriptions. While these prompt-based services (e.g. OpenAI's GPTs)
play an important role in many businesses, there has emerged growing concerns
about the prompt leakage, which undermines the intellectual properties of these
services and causes downstream attacks. In this paper, we analyze the
underlying mechanism of prompt leakage, which we refer to as prompt
memorization, and develop corresponding defending strategies. By exploring the
scaling laws in prompt extraction, we analyze key attributes that influence
prompt extraction, including model sizes, prompt lengths, as well as the types
of prompts. Then we propose two hypotheses that explain how LLMs expose their
prompts. The first is attributed to the perplexity, i.e. the familiarity of
LLMs to texts, whereas the second is based on the straightforward token
translation path in attention matrices. To defend against such threats, we
investigate whether alignments can undermine the extraction of prompts. We find
that current LLMs, even those with safety alignments like GPT-4, are highly
vulnerable to prompt extraction attacks, even under the most straightforward
user attacks. Therefore, we put forward several defense strategies with the
inspiration of our findings, which achieve 83.8\% and 71.0\% drop in the prompt
extraction rate for Llama2-7B and GPT-3.5, respectively. Source code is
avaliable at \url{https://github.com/liangzid/PromptExtractionEval}.",http://arxiv.org/pdf/2408.02416v1,2024-08-05,2408.02416v1,Why Are My Prompts Leaked? Unraveling Prompt Extraction Threats in Customized Large Language Models,gpt-4,somewhat relevant,"The paper talks about the usage of prompts in large language models, an analysis on the factors influencing prompt extraction and ways to defend against prompt extraction threats; but it does not specifically discuss hard prefix prompts.",,
A Few-Shot Approach for Relation Extraction Domain Adaptation using Large Language Models,"['Vanni Zavarella', 'Juan Carlos Gamero-Salinas', 'Sergio Consoli']","Knowledge graphs (KGs) have been successfully applied to the analysis of
complex scientific and technological domains, with automatic KG generation
methods typically building upon relation extraction models capturing
fine-grained relations between domain entities in text. While these relations
are fully applicable across scientific areas, existing models are trained on
few domain-specific datasets such as SciERC and do not perform well on new
target domains. In this paper, we experiment with leveraging in-context
learning capabilities of Large Language Models to perform schema-constrained
data annotation, collecting in-domain training instances for a
Transformer-based relation extraction model deployed on titles and abstracts of
research papers in the Architecture, Construction, Engineering and Operations
(AECO) domain. By assessing the performance gain with respect to a baseline
Deep Learning architecture trained on off-domain data, we show that by using a
few-shot learning strategy with structured prompts and only minimal expert
annotation the presented approach can potentially support domain adaptation of
a science KG generation model.",http://arxiv.org/pdf/2408.02377v1,2024-08-05,2408.02377v1,A Few-Shot Approach for Relation Extraction Domain Adaptation using Large Language Models,gpt-4,somewhat relevant,"The paper includes a mention of using structured prompts for a few-shot learning strategy, which aligns with the concept of hard prefix prompts.",,
Operationalizing Contextual Integrity in Privacy-Conscious Assistants,"['Sahra Ghalebikesabi', 'Eugene Bagdasaryan', 'Ren Yi', 'Itay Yona', 'Ilia Shumailov', 'Aneesh Pappu', 'Chongyang Shi', 'Laura Weidinger', 'Robert Stanforth', 'Leonard Berrada', 'Pushmeet Kohli', 'Po-Sen Huang', 'Borja Balle']","Advanced AI assistants combine frontier LLMs and tool access to autonomously
perform complex tasks on behalf of users. While the helpfulness of such
assistants can increase dramatically with access to user information including
emails and documents, this raises privacy concerns about assistants sharing
inappropriate information with third parties without user supervision. To steer
information-sharing assistants to behave in accordance with privacy
expectations, we propose to operationalize $\textit{contextual integrity}$
(CI), a framework that equates privacy with the appropriate flow of information
in a given context. In particular, we design and evaluate a number of
strategies to steer assistants' information-sharing actions to be CI compliant.
Our evaluation is based on a novel form filling benchmark composed of synthetic
data and human annotations, and it reveals that prompting frontier LLMs to
perform CI-based reasoning yields strong results.",http://arxiv.org/pdf/2408.02373v1,2024-08-05,2408.02373v1,Operationalizing Contextual Integrity in Privacy-Conscious Assistants,gpt-4,somewhat relevant,"The paper focuses on using prompting to steer the behavior of the AI assistants, specifically for information sharing, but it doesn't specify whether it utilizes hard prefix prompting.",,
Spin glass model of in-context learning,"['Yuhao Li', 'Ruoran Bai', 'Haiping Huang']","Large language models show a surprising in-context learning ability -- being
able to use a prompt to form a prediction for a query, yet without additional
training, in stark contrast to old-fashioned supervised learning. Providing a
mechanistic interpretation and linking the empirical phenomenon to physics are
thus challenging and remain unsolved. We study a simple yet expressive
transformer with linear attention, and map this structure to a spin glass model
with real-valued spins, where the couplings and fields explain the intrinsic
disorder in data. The spin glass model explains how the weight parameters
interact with each other during pre-training, and most importantly why an
unseen function can be predicted by providing only a prompt yet without
training. Our theory reveals that for single instance learning, increasing the
task diversity leads to the emergence of the in-context learning, by allowing
the Boltzmann distribution to converge to a unique correct solution of weight
parameters. Therefore the pre-trained transformer displays a prediction power
in a novel prompt setting. The proposed spin glass model thus establishes a
foundation to understand the empirical success of large language models.",http://arxiv.org/pdf/2408.02288v1,2024-08-05,2408.02288v1,Spin glass model of in-context learning,gpt-4,somewhat relevant,"While the paper discusses the use of prompts in prediction and learning context, it doesn't specifically address hard prefix prompting or prompt engineering techniques.",,
Dialogue Ontology Relation Extraction via Constrained Chain-of-Thought Decoding,"['Renato Vukovic', 'David Arps', 'Carel van Niekerk', 'Benjamin Matthias Ruppik', 'Hsien-Chin Lin', 'Michael Heck', 'Milica Gašić']","State-of-the-art task-oriented dialogue systems typically rely on
task-specific ontologies for fulfilling user queries. The majority of
task-oriented dialogue data, such as customer service recordings, comes without
ontology and annotation. Such ontologies are normally built manually, limiting
the application of specialised systems. Dialogue ontology construction is an
approach for automating that process and typically consists of two steps: term
extraction and relation extraction. In this work, we focus on relation
extraction in a transfer learning set-up. To improve the generalisation, we
propose an extension to the decoding mechanism of large language models. We
adapt Chain-of-Thought (CoT) decoding, recently developed for reasoning
problems, to generative relation extraction. Here, we generate multiple
branches in the decoding space and select the relations based on a confidence
threshold. By constraining the decoding to ontology terms and relations, we aim
to decrease the risk of hallucination. We conduct extensive experimentation on
two widely used datasets and find improvements in performance on target
ontology for source fine-tuned and one-shot prompted large language models.",http://arxiv.org/pdf/2408.02361v1,2024-08-05,2408.02361v1,Dialogue Ontology Relation Extraction via Constrained Chain-of-Thought Decoding,gpt-4,somewhat irrelevant,"The study discusses the extension of the decoding mechanism of large language models and adaptation of Chain-of-Thought (CoT) decoding for generative relation extraction, but it doesn't make direct reference to hard prefix prompting or prompt engineering.",,
Self-Taught Evaluators,"['Tianlu Wang', 'Ilia Kulikov', 'Olga Golovneva', 'Ping Yu', 'Weizhe Yuan', 'Jane Dwivedi-Yu', 'Richard Yuanzhe Pang', 'Maryam Fazel-Zarandi', 'Jason Weston', 'Xian Li']","Model-based evaluation is at the heart of successful model development -- as
a reward model for training, and as a replacement for human evaluation. To
train such evaluators, the standard approach is to collect a large amount of
human preference judgments over model responses, which is costly and the data
becomes stale as models improve. In this work, we present an approach that aims
to im-prove evaluators without human annotations, using synthetic training data
only. Starting from unlabeled instructions, our iterative self-improvement
scheme generates contrasting model outputs and trains an LLM-as-a-Judge to
produce reasoning traces and final judgments, repeating this training at each
new iteration using the improved predictions. Without any labeled preference
data, our Self-Taught Evaluator can improve a strong LLM (Llama3-70B-Instruct)
from 75.4 to 88.3 (88.7 with majority vote) on RewardBench. This outperforms
commonly used LLM judges such as GPT-4 and matches the performance of the
top-performing reward models trained with labeled examples.",http://arxiv.org/pdf/2408.02666v1,2024-08-05,2408.02666v1,Self-Taught Evaluators,gpt-4,highly irrelevant,"The paper focuses on model-based evaluation and an approach for improving evaluators without human annotations, but does not discuss or mention the concept of hard prefix prompting or prompt engineering.",,
Language Model Can Listen While Speaking,"['Ziyang Ma', 'Yakun Song', 'Chenpeng Du', 'Jian Cong', 'Zhuo Chen', 'Yuping Wang', 'Yuxuan Wang', 'Xie Chen']","Dialogue serves as the most natural manner of human-computer interaction
(HCI). Recent advancements in speech language models (SLM) have significantly
enhanced speech-based conversational AI. However, these models are limited to
turn-based conversation, lacking the ability to interact with humans in
real-time spoken scenarios, for example, being interrupted when the generated
content is not satisfactory. To address these limitations, we explore full
duplex modeling (FDM) in interactive speech language models (iSLM), focusing on
enhancing real-time interaction and, more explicitly, exploring the
quintessential ability of interruption. We introduce a novel model design,
namely listening-while-speaking language model (LSLM), an end-to-end system
equipped with both listening and speaking channels. Our LSLM employs a
token-based decoder-only TTS for speech generation and a streaming
self-supervised learning (SSL) encoder for real-time audio input. LSLM fuses
both channels for autoregressive generation and detects turn-taking in real
time. Three fusion strategies -- early fusion, middle fusion, and late fusion
-- are explored, with middle fusion achieving an optimal balance between speech
generation and real-time interaction. Two experimental settings, command-based
FDM and voice-based FDM, demonstrate LSLM's robustness to noise and sensitivity
to diverse instructions. Our results highlight LSLM's capability to achieve
duplex communication with minimal impact on existing systems. This study aims
to advance the development of interactive speech dialogue systems, enhancing
their applicability in real-world contexts.",http://arxiv.org/pdf/2408.02622v1,2024-08-05,2408.02622v1,Language Model Can Listen While Speaking,gpt-4,highly irrelevant,"The paper focuses on interactive speech dialogue systems and enhancements to real-time conversations, but does not discuss prompt engineering or hard prefix prompting in transformers.",,
